ID,nombre,usado_para_deteccion,num_Flujos,flujos_ataques,mesajes_ataques,instancias_ataques_total,instancias_ataques_principales,instancias_ataque_colateral
1,T0866-VulnAccess-SMBv1,Si,65,12,78,78,64,14
2,T0866-RemoteAccess-VNC,Si,2,2,2,2,2,0
3,T0848-RogueMaster-IEC-104,Si,10,6,40,50,50,0
4,T0848-RogueMaster-DNP3,Si,4,1,217,217,217,0
5,T0858-ChangeOPMode-Omron,Si,1,1,6,6,6,0
6,T0890-EscalPrivileges-NetLogon,Si,369,364,365,365,365,0
7,T0846-DiscoveryNmap-S7,Si,4,1,3,3,3,0
8,T0846-DiscoveryNmap-Modbus,Si,5,2,2,2,2,0
9,T0846-DiscoverMetasp-Modbus,Si,1,1,1,1,1,0
10,T0888-DiscverFindID-Modbus,Si,20,20,20,20,20,0
11,T0888-DiscoverInfo-DNP3_[1].pcapng,Si,3,1,30,30,30,0
12,T0846-Discovery-BacNet,Si,4,1,9,9,9,0
13,T0846-Discovery-IEC104,Si,39,29,66,66,66,0
14,T0888-ScanInfo-MQTT,No,4,1,3,3,3,0
15,T0888-ScanInfo-OPCUA-Nmap,Si,76,75,139,139,139,0
16,T0888-ScanInfo-OPCUA-OpcScan,No,12,6,39,39,39,0
17,T0888-ScanInfo-ENIP,No,2,1,1,1,1,0
18,T0888-ScanInfo-OmronFINS,Si,5,2,3,3,3,0
19,T0843-ProgDownload-IEC104,Si,7,1,1458,3508,3508,0
20,T0886-BruteForce-MQTT,No,400,400,401,401,401,0
21,T0843-FileReadWrite-DNP3,Si,11,2,165,171,171,0
22,T0843-FileDownloadUpload-Modbus,Si,5,4,4,4,4,0
23,T0802-AutoCollect-OPCUA,No,7,2,114,114,114,0
24,T0830-MiTM-BacNet-FIXED,Si,262,1,6892,6892,6892,0
25,T0802-AutoCollect-SNMP,Si,1,1,45,45,45,0
26,T0809-DataDestroy-OMRON,Si,1,1,93,93,93,0
27,T0814-DoS-OPCUA,No,1,1,463,463,463,0
28,T0816-RestartAllenBradley-SNMP,Si,5,1,1,1,1,0
29,T0816-StopCommand-S7Comm,Si,1,1,1,1,1,0
30,T0814-DoS-PCC,Si,9,1,1,1,1,0
31,T0816-ShtDownAllenBradley-CIP,Si,9,1,1,1,1,0
32,T0816-ShutDown-Modbus,Si,1,1,1,1,1,0
33,T0836-ModifyParam-OmronFINS,Si,10,4,4,4,4,0
34,T0836-ModifParam-Modbus,Si,1,1,1,1,1,0
35,T0836-ModifParam-S7,Si,7,2,3,3,3,0
36,T0885-C&Cp502RWin-TCP,Si,16,6,9,9,9,0
37,T0885-C&Cp502Ignition-HTTP,Si,6,4,5,5,5,0
38,T0885-C&Cp20000RWin-TCP,Si,5,2,3,3,3,0
39,T0885-C&Cp102Ignition-TCP,Si,5,4,5,5,5,0
40,T0831-Modifparam-IEC104,Si,13,1,14,16,16,0
41,T0882-DirectoryRead-IEC104,Si,6,1,9,10,10,0
42,T0882-ModifParam-DNP3,Si,3,1,2,2,2,0
43,T0882-DirRead-DNP3,Si,4,1,3,3,3,0
