ID,nombre,flujos_detectados,IDS
1,T0866-VulnAccess-SMBv1,6,fortigate
2,T0866-RemoteAccess-VNC,1,fortigate
3,T0848-RogueMaster-IEC-104,0,fortigate
4,T0848-RogueMaster-DNP3,0,fortigate
5,T0858-ChangeOPMode-Omron,1,fortigate
6,T0890-EscalPrivileges-NetLogon,182,fortigate
7,T0846-DiscoveryNmap-S7,0,fortigate
8,T0846-DiscoveryNmap-Modbus,0,fortigate
9,T0846-DiscoverMetasp-Modbus,0,fortigate
10,T0888-DiscverFindID-Modbus,0,fortigate
11,T0888-DiscoverInfo-DNP3_[1].pcapng,0,fortigate
12,T0846-Discovery-BacNet,0,fortigate
13,T0846-Discovery-IEC104,3,fortigate
14,T0888-ScanInfo-MQTT,0,fortigate
15,T0888-ScanInfo-OPCUA-Nmap,5,fortigate
16,T0888-ScanInfo-OPCUA-OpcScan,0,fortigate
17,T0888-ScanInfo-ENIP,0,fortigate
18,T0888-ScanInfo-OmronFINS,0,fortigate
19,T0843-ProgDownload-IEC104,0,fortigate
20,T0886-BruteForce-MQTT,0,fortigate
21,T0843-FileReadWrite-DNP3,0,fortigate
22,T0843-FileDownloadUpload-Modbus,0,fortigate
23,T0802-AutoCollect-OPCUA,0,fortigate
24,T0830-MiTM-BacNet-FIXED,0,fortigate
25,T0802-AutoCollect-SNMP,0,fortigate
26,T0809-DataDestroy-OMRON,1,fortigate
27,T0814-DoS-OPCUA,0,fortigate
28,T0816-RestartAllenBradley-SNMP,1,fortigate
29,T0816-StopCommand-S7Comm,1,fortigate
30,T0814-DoS-PCC,0,fortigate
31,T0816-ShtDownAllenBradley-CIP,0,fortigate
32,T0816-ShutDown-Modbus,0,fortigate
33,T0836-ModifyParam-OmronFINS,0,fortigate
34,T0836-ModifParam-Modbus,0,fortigate
35,T0836-ModifParam-S7,0,fortigate
36,T0885-C&Cp502RWin-TCP,0,fortigate
37,T0885-C&Cp502Ignition-HTTP,0,fortigate
38,T0885-C&Cp20000RWin-TCP,0,fortigate
39,T0885-C&Cp102Ignition-TCP,0,fortigate
40,T0831-Modifparam-IEC104,0,fortigate
41,T0882-DirectoryRead-IEC104,0,fortigate
42,T0882-ModifParam-DNP3,0,fortigate
43,T0882-DirRead-DNP3,0,fortigate
1,T0866-VulnAccess-SMBv1,4,paloalto
2,T0866-RemoteAccess-VNC,1,paloalto
3,T0848-RogueMaster-IEC-104,1,paloalto
4,T0848-RogueMaster-DNP3,1,paloalto
5,T0858-ChangeOPMode-Omron,0,paloalto
6,T0890-EscalPrivileges-NetLogon,1,paloalto
7,T0846-DiscoveryNmap-S7,1,paloalto
8,T0846-DiscoveryNmap-Modbus,1,paloalto
9,T0846-DiscoverMetasp-Modbus,0,paloalto
10,T0888-DiscverFindID-Modbus,3,paloalto
11,T0888-DiscoverInfo-DNP3_[1].pcapng,1,paloalto
12,T0846-Discovery-BacNet,0,paloalto
13,T0846-Discovery-IEC104,6,paloalto
14,T0888-ScanInfo-MQTT,0,paloalto
15,T0888-ScanInfo-OPCUA-Nmap,6,paloalto
16,T0888-ScanInfo-OPCUA-OpcScan,0,paloalto
17,T0888-ScanInfo-ENIP,0,paloalto
18,T0888-ScanInfo-OmronFINS,0,paloalto
19,T0843-ProgDownload-IEC104,1,paloalto
20,T0886-BruteForce-MQTT,0,paloalto
21,T0843-FileReadWrite-DNP3,2,paloalto
22,T0843-FileDownloadUpload-Modbus,3,paloalto
23,T0802-AutoCollect-OPCUA,0,paloalto
24,T0830-MiTM-BacNet-FIXED,0,paloalto
25,T0802-AutoCollect-SNMP,0,paloalto
26,T0809-DataDestroy-OMRON,0,paloalto
27,T0814-DoS-OPCUA,0,paloalto
28,T0816-RestartAllenBradley-SNMP,0,paloalto
29,T0816-StopCommand-S7Comm,0,paloalto
30,T0814-DoS-PCC,0,paloalto
31,T0816-ShtDownAllenBradley-CIP,1,paloalto
32,T0816-ShutDown-Modbus,1,paloalto
33,T0836-ModifyParam-OmronFINS,0,paloalto
34,T0836-ModifParam-Modbus,1,paloalto
35,T0836-ModifParam-S7,1,paloalto
36,T0885-C&Cp502RWin-TCP,0,paloalto
37,T0885-C&Cp502Ignition-HTTP,2,paloalto
38,T0885-C&Cp20000RWin-TCP,0,paloalto
39,T0885-C&Cp102Ignition-TCP,2,paloalto
40,T0831-Modifparam-IEC104,1,paloalto
41,T0882-DirectoryRead-IEC104,1,paloalto
42,T0882-ModifParam-DNP3,1,paloalto
43,T0882-DirRead-DNP3,1,paloalto
